90,0.338983050847457,85,NB,59.0,59.0,59.2,59.0,59.2,0.19999999999999998,0.34,76,2755962.0,162846604.15,Main Board,CONSUMER GOODS,NB ,2021-06-22T00:00:00
92,-3.370786516853932,14,NEIMETH,1.7799999999999998,1.7799999999999998,1.72,1.72,1.72,-0.06,-3.37,9,234250.0,403457.0,Main Board,HEALTHCARE,NEIMETH ,2021-06-22T00:00:00
101,0.684931506849315,48,OANDO,2.92,2.92,2.94,2.94,2.94,0.02,0.68,68,1432090.0,4214985.94,Main Board,OIL AND GAS,OANDO [MRF],2021-06-22T00:00:00
107,-4.473684210526315,124,PRESCO,76.0,76.0,72.6,72.6,72.6,-3.4,-4.47,18,1147380.0,83317659.25,Main Board,AGRICULTURE,PRESCO ,2021-06-22T00:00:00
109,-5.172413793103449,44,PZ,5.8,5.8,5.5,5.5,5.5,-0.3,-5.17,25,423938.0,2321051.5,Main Board,CONSUMER GOODS,PZ ,2021-06-22T00:00:00
111,9.552238805970148,52,REDSTAREX,3.35,3.35,3.67,3.67,3.67,0.32,9.55,24,1128710.0,4000927.11,Main Board,SERVICES,REDSTAREX ,2021-06-22T00:00:00
114,1.44927536231884,89,ROYALEX,0.69,0.69,0.7,0.69,0.7,0.01,1.45,9,1682672.0,1175977.6,Main Board,FINANCIAL SERVICES,ROYALEX [MRF],2021-06-22T00:00:00
121,4.0,72,SOVRENINS,0.25,0.25,0.26999999999999996,0.26,0.26,0.01,4.0,10,557000.0,147110.0,Main Board,FINANCIAL SERVICES,SOVRENINS ,2021-06-22T00:00:00
123,-0.8771929824561401,100,STANBIC,39.9,39.9,39.7,39.55,39.55,-0.35,-0.88,98,4950108.0,196399036.6,Main Board,FINANCIAL SERVICES,STANBIC ,2021-06-22T00:00:00
125,0.0,129,STERLNBANK,1.6099999999999999,1.6099999999999999,1.6099999999999999,1.56,1.6099999999999999,0.0,-2.48,69,10726953.0,16897173.55,Main Board,FINANCIAL SERVICES,STERLNBANK ,2021-06-22T00:00:00
133,-1.098901098901099,139,TRANSCORP,0.9099999999999999,0.9099999999999999,0.8999999999999999,0.86,0.8999999999999999,-0.01,-1.1,112,42441801.0,37208890.46,Main Board,CONGLOMERATES,TRANSCORP ,2021-06-22T00:00:00
136,-2.4096385542168672,17,UAC-PROP,0.83,0.83,0.82,0.8099999999999999,0.8099999999999999,-0.02,-2.41,17,1474631.0,1195990.89,Main Board,CONSTRUCTION/REAL ESTATE,UAC-PROP [BLS],2021-06-22T00:00:00
137,-1.01010101010101,132,UACN,9.9,9.9,9.8,9.7,9.8,-0.09999999999999999,-1.01,56,1503542.0,14609272.05,Main Board,CONGLOMERATES,UACN ,2021-06-22T00:00:00
138,0.0,25,UBA,7.3,7.3,7.35,7.25,7.3,0.0,-0.68,153,5573984.0,40650756.55,Premium Board,FINANCIAL SERVICES,UBA ,2021-06-22T00:00:00
140,0.0,66,UCAP,6.17,6.17,6.17,6.08,6.17,0.0,-1.13,106,5338435.0,32708490.94,Main Board,FINANCIAL SERVICES,UCAP ,2021-06-22T00:00:00
148,0.892857142857142,90,UPDCREIT,5.6,5.6,5.65,5.65,5.65,0.049999999999999996,0.89,11,237908.0,1343806.45,Real Estate Investment Trust & Close End Fund,CONSTRUCTION/REAL ESTATE,UPDCREIT ,2021-06-22T00:00:00
151,9.090909090909092,99,VERITASKAP,0.22,0.22,0.24,0.22,0.24,0.02,9.09,7,1065039.0,243329.08,Main Board,FINANCIAL SERVICES,VERITASKAP ,2021-06-22T00:00:00
152,9.67741935483871,143,VITAFOAM,12.4,12.4,13.6,12.6,13.6,1.2,9.68,255,20131094.0,271570687.65,Main Board,CONSUMER GOODS,VITAFOAM ,2021-06-22T00:00:00
